,Country or territory,Total length of land borders,Unnamed: 2,No. of distinct land borders,No. of distinct land neighbours,neighbor list
73,Guinea,"3,399","2,112",6,6,"Cote d'Ivoire, Guinea-Bissau, Liberia, Mali, Senegal, Sierra Leone"
74,Guinea-Bissau,724,450,2,2,"Guinea, Senegal"
75,Guyana,"2,462","1,530",3,3,"Brazil, Suriname, Venezuela"
76,Haiti,360,220,1,1,Dominican Republic
77,Honduras,"1,520",940,3,3,"Guatemala, El Salvador, Nicaragua"
78,Hong Kong[18],30,19,1,1,People's Republic of China
79,Hungary,"2,171","1,349",7,7,"Austria, Croatia, Romania, Serbia, Slovakia, Slovenia, Ukraine"
80,Iceland,0,0,0,0,nan
81,India,"14,209","8,829",10,7,"Bangladesh, Bhutan, People's Republic of China, Myanmar, Nepal, Pakistan, Sri Lanka"
82,Indonesia,"2,830","1,760",4,3,"East Timor (2), Malaysia, Papua New Guinea"
83,Iran,"5,440","3,380",8,7,"Afghanistan, Armenia, Azerbaijan (2), Iraq, Pakistan, Turkey, Turkmenistan"
84,Iraq,"3,650","2,270",6,6,"Iran, Jordan, Kuwait, Saudi Arabia, Syria, Turkey"
85,Ireland,499,310,1,1,United Kingdom
86,Israel,"1,017",632,4,5,"Egypt, Gaza Strip (state of palestine), Jordan, Lebanon, Syria, West Bank (state of Palestine)"
87,Italy,"1,932","1,200",7,6,"Austria, France, San Marino, Slovenia, Switzerland (2), Vatican City"
88,Jamaica,0,0,0,0,nan
89,Japan,0,0,0,0,nan
90,Jordan,"1,635","1,016",5,5,"Iraq, Israel, Saudi Arabia, Syria, West Bank (State of Palestine)"
91,Kazakhstan,"12,012","7,464",5,5,"People's Republic of China, Kyrgyzstan, Russia, Turkmenistan, Uzbekistan"
92,Kenya,"3,477","2,161",5,5,"Ethiopia, Somalia, South Sudan, Tanzania, Uganda"
93,Kiribati,0,0,0,0,nan
94,North Korea,"1,673","1,040",3,3,"People's Republic of China, South Korea, Russia"
95,South Korea,238,148,1,1,North Korea
96,Kosovo,701,436,4,4,"Albania, Montenegro, North Macedonia, Serbia"
97,Kuwait,462,287,2,2,"Iraq, Saudi Arabia"
98,Kyrgyzstan,"3,878","2,410",4,4,"People's Republic of China, Kazakhstan, Tajikistan (3), Uzbekistan (6)"
99,Laos,"5,083","3,158",5,5,"Cambodia, People's Republic of China, Myanmar, Thailand, Vietnam"
100,Latvia,"1,150",710,4,4,"Belarus, Estonia, Lithuania, Russia"
101,Lebanon,454,282,2,2,"Israel, Syria"
102,Lesotho,909,565,1,1,South Africa
103,Liberia,"1,585",985,3,3,"Guinea, Cote d'Ivoire, Sierra Leone"
104,Libya,"4,348","2,702",6,6,"Algeria, Chad, Egypt, Niger, Sudan, Tunisia"
105,Liechtenstein,76,47,2,2,"Austria, Switzerland"
106,Lithuania,"1,273",791,4,4,"Belarus, Latvia, Poland, Russia"
107,Luxembourg,359,223,3,3,"Belgium, France, Germany"
108,Macau[19] (People's Republic of China),0.34,0.21,1,1,People's Republic of China
109,Madagascar,0,0,0,0,nan
110,Madeira[36] (Portugal),0,0,0,0,nan
111,Malawi,"2,881","1,790",3,3,"Mozambique, Tanzania, Zambia"
112,Malaysia,"3,147","1,955",4,3,"Brunei (2), Indonesia, Thailand"
113,Maldives,0,0,0,0,nan
114,Mali,"7,243","4,501",7,7,"Algeria, Burkina Faso, Cote d'Ivoire, Guinea, Mauritania, Niger, Senegal"
115,Malta,0,0,0,0,nan
116,Marshall Islands,0,0,0,0,nan
117,Mauritania,"5,074","3,153",4,4,"Algeria, Mali, Senegal, Western Sahara"
118,Mauritius,0,0,0,0,nan
119,Mexico,"4,353","2,705",3,3,"Belize, Guatemala, US"
120,Federated States of Micronesia,0,0,0,0,nan
121,Moldova,"1,389",863,2,2,"Romania, Ukraine"
122,Monaco,4.4,2.7,1,1,France
123,Mongolia,"8,220","5,110",2,2,"People's Republic of China, Russia"
124,Montenegro,625,388,5,5,"Albania,  Bosnia and Herzegovina,  Croatia,  Kosovo,  Serbia"
125,Morocco,"2,018","1,254",5,3,"Algeria, Western Sahara, Spain (3)"
126,Mozambique,"4,571","2,840",6,6,"Eswatini, Malawi, South Africa (2), Tanzania, Zambia, Zimbabwe"
127,Myanmar,"5,876","3,651",5,5,"Bangladesh, People's Republic of China, India, Laos, Thailand"
128,Namibia,"3,936","2,446",4,4,"Angola, Botswana, South Africa, Zambia"
129,Nauru,0,0,0,0,nan
130,Nepal,"2,926","1,818",2,2,"People's Republic of China, India"
131,Netherlands,,,,,nan
132,→includes:,"1,037",644,33,3,"Belgium (31), Germany, Saint Martin[38] (France)"
133,New Zealand,0,0,0,0,nan
134,Nicaragua,"1,231",765,2,2,"Costa Rica, Honduras"
135,Niger,"5,697","3,540",7,7,"Algeria, Benin, Burkina Faso, Chad, Libya, Mali, Nigeria"
