DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","Andaman and Nicobar Islands","India",417036,7656,0,0.00,202,124.12,254,14.35,274,18.30,314,7.59,327,9.21,373,0.20,464,56.39,569,0.59,607,2.69,683,0.94
Confirmed,"","Andhra Pradesh","India",53903393,2068744,0,0.00,197,9647.87,208,8900.89,222,10518.13,390,59.17,480,21439.01,553,1960.78,558,1982.45,577,1298.83,583,1335.30,683,164.49
Confirmed,"","Arunachal Pradesh","India",1570458,55237,0,0.00,190,72.65,195,68.78,247,233.22,415,0.20,491,386.20,514,253.68,545,432.55,610,42.14,616,46.87,683,3.33
Confirmed,"","Assam","India",35607039,614722,0,0.00,202,2541.85,213,1911.53,224,2710.24,244,2111.26,250,2230.72,388,10.86,485,5659.96,630,231.79,639,297.53,683,142.18
Confirmed,"","Bihar","India",124799926,720885,0,0.00,202,3549.91,235,1469.70,240,1491.91,302,538.47,310,608.44,375,109.94,383,192.09,409,33.47,466,13616.37,683,2.98
Confirmed,"","Chandigarh","India",1158473,65167,0,0.00,236,311.63,273,57.23,302,117.42,386,20.64,470,827.94,558,3.36,578,340.40,653,2.35,675,6.25,683,5.13
Confirmed,"","Chhattisgarh","India",29436231,1005751,0,0.00,238,3084.73,245,2725.83,249,2789.70,297,1442.97,306,1870.25,363,507.48,372,1055.53,402,237.26,458,15324.26,683,31.17
Confirmed,"","Dadra and Nagar Haveli and Daman and Diu","India",615724,10688,0,0.00,168,25.40,173,21.01,199,49.07,220,27.98,226,30.78,292,2.14,301,4.07,381,0.05,457,214.55,683,0.00
Confirmed,"","Delhi","India",18710922,1410957,0,0.00,153,3223.47,187,1020.72,238,4071.17,258,2670.17,292,6926.36,385,129.53,457,24295.18,633,27.52,683,73.23,683,73.23
Confirmed,"","Goa","India",1586250,178825,0,0.00,204,406.79,212,344.77,239,553.80,391,46.19,471,3175.88,597,67.66,606,93.19,663,24.53,683,45.05,683,45.05
Confirmed,"","Gujarat","India",63872398,806935,0,0.00,191,1113.46,197,1075.12,242,1419.75,283,950.90,311,1537.12,384,257.60,462,13931.77,586,13.02,683,44.13,683,44.13
Confirmed,"","Haryana","India",28204692,766795,0,0.00,148,495.75,158,444.43,237,2496.18,269,1134.02,303,2451.65,380,80.01,469,14027.42,627,10.90,683,20.84,683,20.84
Confirmed,"","Himachal Pradesh","India",7451954,227084,0,0.00,238,370.87,273,215.02,310,774.95,394,26.12,474,4194.99,545,102.47,567,309.68,630,142.18,643,200.37,683,67.68
Confirmed,"","Jammu and Kashmir","India",13606320,333499,0,0.00,181,560.58,198,499.42,236,1471.40,381,58.44,471,4531.54,573,112.94,607,154.33,632,79.84,683,183.53,683,183.53
Confirmed,"","Jharkhand","India",38593948,347955,0,0.00,224,1711.37,321,178.95,331,205.89,390,40.58,463,6146.26,604,7.93,640,26.72,675,12.38,683,19.42,683,19.42
