DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"","","Afghanistan",38928341,157455,0,0.00,134,715.42,221,26.06,231,43.56,250,21.11,317,226.88,402,16.53,516,1810.72,655,17.58,670,48.48,683,28.35
Confirmed,"","","Armenia",2963233,340757,0,0.00,157,608.58,219,140.90,283,2057.57,349,286.60,357,334.72,375,142.53,430,918.55,503,72.70,642,1913.41,683,416.52
Confirmed,"","","Azerbaijan",10139175,596455,0,0.00,161,550.29,251,102.20,322,4141.84,382,132.10,443,2180.87,514,47.30,584,3747.66,619,771.09,652,2192.72,683,1559.63
Confirmed,"","","Bahrain",1701583,277834,0,0.00,155,542.01,193,332.93,235,700.66,305,147.85,388,761.77,409,609.68,444,1117.05,454,1044.81,490,2791.44,683,31.20
Confirmed,"","","Bangladesh",164689383,1577440,0,0.00,157,3685.71,256,1369.54,308,2178.41,385,371.53,440,6695.20,479,998.89,538,11618.30,546,9776.57,556,13752.18,683,227.39
Confirmed,"","","Bhutan",771612,2641,0,0.00,131,2.37,149,0.47,219,6.98,289,1.25,339,19.82,416,0.03,492,25.80,500,15.17,531,18.67,683,0.35
Confirmed,"","","Burma",54409794,524456,0,0.00,262,1384.52,290,1087.67,306,1460.22,449,8.00,546,5609.00,579,2635.17,588,3145.88,644,858.88,654,949.19,683,396.70
Confirmed,"","","Cambodia",16718971,120256,0,0.08,59,8.13,111,0.00,466,691.66,480,402.12,498,669.97,508,592.59,530,953.26,584,432.09,612,739.73,683,24.23
Confirmed,"","","Georgia",3989175,865374,0,0.00,318,4273.86,409,292.12,471,1337.02,516,672.25,572,4853.28,613,1596.83,636,4290.93,643,3966.65,654,4707.00,683,3866.74
Confirmed,"","","Indonesia",273523621,4257718,0,0.00,246,4247.41,254,4104.41,260,4185.79,284,3266.45,372,12457.69,442,4996.38,453,5322.59,479,3981.59,541,46438.43,683,253.63
Confirmed,"","","Iran",83992953,6134973,0,0.00,69,2799.20,98,1072.62,133,2752.03,223,1912.93,310,13494.21,340,6037.89,451,23683.12,501,8563.24,569,38221.86,683,3420.69
