DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
Confirmed,"Adams","Washington","US",19983,3366,0,0.00,71,2.18,116,0.09,167,9.22,192,6.13,225,10.74,273,1.44,300,21.95,543,0.43,603,17.94,683,2.41
Confirmed,"Asotin","Washington","US",22582,3053,0,0.00,294,18.01,336,5.37,356,13.70,405,0.89,467,4.18,517,0.59,601,19.15,672,4.14,681,7.05,683,6.55
Confirmed,"Benton","Washington","US",204390,32423,0,0.00,174,66.18,226,12.15,321,144.90,340,71.88,352,123.23,416,19.38,455,35.05,485,16.86,571,173.89,683,26.84
Confirmed,"Chelan","Washington","US",77200,12238,0,0.00,191,31.80,245,6.72,320,63.46,404,5.51,433,11.94,529,3.13,584,61.00,649,26.57,661,44.52,683,16.96
Confirmed,"Clallam","Washington","US",77331,5325,0,0.00,202,5.68,263,0.92,305,11.60,343,5.23,354,8.69,404,1.25,467,6.58,492,1.89,595,60.94,683,11.76
Confirmed,"Clark","Washington","US",488241,45623,0,0.00,246,84.67,255,40.06,320,180.62,339,109.12,349,187.18,408,34.25,464,100.50,527,17.05,587,216.03,683,99.78
Confirmed,"Columbia","Washington","US",3985,394,0,0.00,152,0.73,270,0.00,314,2.42,365,0.07,376,1.88,442,0.00,586,4.35,603,1.52,623,3.11,683,0.66
Confirmed,"Cowlitz","Washington","US",110593,14446,0,0.00,173,10.72,209,2.18,357,50.00,417,10.89,450,29.26,480,14.06,489,22.07,529,7.70,578,90.33,683,23.56
Confirmed,"Douglas","Washington","US",43429,6657,0,0.00,191,22.47,253,3.11,321,32.58,332,11.46,346,23.45,485,1.56,597,36.95,636,14.95,662,22.48,683,9.21
Confirmed,"Ferry","Washington","US",7627,871,0,0.00,192,1.16,259,0.00,315,5.98,385,0.15,455,6.11,535,0.14,600,5.05,607,3.65,631,9.14,683,0.19
Confirmed,"Franklin","Washington","US",95222,20756,0,0.00,165,64.81,238,10.75,321,97.89,366,37.51,376,59.94,423,13.18,456,25.45,504,8.46,596,99.38,683,11.67
Confirmed,"Garfield","Washington","US",2225,260,0,0.00,288,2.28,323,0.23,340,1.68,367,0.08,380,0.86,456,0.00,513,0.39,552,0.05,629,2.61,683,0.33
Confirmed,"Grant","Washington","US",97733,17057,0,0.00,205,42.47,277,8.58,322,61.67,438,9.60,455,28.61,527,4.95,538,60.23,549,8.46,599,83.98,683,20.01
Confirmed,"Grays Harbor","Washington","US",75061,9562,0,0.00,235,11.22,257,5.93,337,47.53,434,3.90,478,23.63,524,2.75,614,66.49,672,18.00,680,29.76,683,26.37
Confirmed,"Island","Washington","US",85141,4508,0,0.00,65,9.65,122,0.14,351,12.11,393,2.24,410,9.22,526,1.48,577,27.86,591,15.75,614,26.48,683,10.02
Confirmed,"Jefferson","Washington","US",32221,1261,0,0.00,63,1.27,94,-0.02,300,3.74,332,1.26,350,3.52,413,0.03,453,1.99,484,0.13,595,12.26,683,4.39
Confirmed,"King","Washington","US",2252782,174429,0,0.00,62,194.57,122,42.70,320,776.35,339,388.88,350,671.41,407,152.91,462,403.20,526,62.27,569,624.46,683,251.88
Confirmed,"Kitsap","Washington","US",271472,18373,0,0.00,69,7.36,126,0.09,184,19.23,240,5.88,352,54.82,405,13.84,452,43.11,528,8.60,596,116.75,683,37.46
Confirmed,"Kittitas","Washington","US",47935,5329,0,0.00,175,12.72,218,0.21,314,33.45,386,4.03,472,16.17,526,3.41,616,23.85,669,6.70,679,14.34,683,11.75
Confirmed,"Klickitat","Washington","US",22425,2276,0,0.00,207,5.23,242,0.26,346,7.34,427,0.25,489,4.35,539,0.80,584,14.39,600,11.88,622,16.23,683,2.74
Confirmed,"Lewis","Washington","US",80707,11071,0,0.00,251,11.08,266,5.46,319,43.49,425,5.77,490,22.33,527,5.02,596,74.10,672,18.60,680,28.40,683,24.71
Confirmed,"Lincoln","Washington","US",10939,1502,0,0.00,196,1.58,216,0.00,300,4.82,421,0.38,436,5.06,446,1.23,486,5.68,527,0.36,599,13.21,683,1.37
Confirmed,"Mason","Washington","US",66768,6516,0,0.00,197,7.99,234,2.11,316,33.20,336,13.01,349,32.83,526,1.91,599,38.66,610,28.79,628,39.40,683,14.58
Confirmed,"Okanogan","Washington","US",42243,5640,0,0.00,179,33.02,254,1.97,322,16.08,389,3.04,402,6.68,438,3.87,476,7.65,534,1.87,588,38.92,683,6.69
Confirmed,"Pacific","Washington","US",22470,1912,0,0.00,306,7.82,315,2.81,326,22.86,389,1.09,408,4.56,426,0.72,451,5.51,532,0.41,600,12.68,683,2.80
Confirmed,"Pend Oreille","Washington","US",13724,1676,0,0.00,180,1.59,231,0.07,260,4.43,277,1.29,316,8.27,446,0.98,473,2.96,517,0.35,597,11.26,683,3.34
Confirmed,"Pierce","Washington","US",904980,99832,0,0.00,184,101.10,232,34.70,322,353.97,332,210.35,352,327.18,412,118.00,457,251.63,526,33.24,595,436.79,683,179.19
Confirmed,"San Juan","Washington","US",17582,437,0,0.00,75,0.81,255,0.00,296,1.49,332,-0.07,382,1.97,404,-0.02,442,2.12,519,-0.07,665,4.47,683,1.65
Confirmed,"Skagit","Washington","US",129205,12967,0,0.00,65,10.37,122,0.42,176,11.69,232,2.50,321,41.83,421,7.03,461,27.34,528,2.96,640,69.48,683,27.42
Confirmed,"Skamania","Washington","US",12083,857,0,0.00,171,2.09,215,0.00,321,3.72,414,0.02,467,3.84,530,0.08,575,5.03,589,3.36,616,5.61,683,2.31
Confirmed,"Snohomish","Washington","US",822083,73084,0,0.00,63,95.94,131,11.08,321,296.13,414,46.15,453,137.29,528,36.98,580,314.16,628,193.37,664,261.70,683,182.06
Confirmed,"Spokane","Washington","US",522798,77887,0,0.00,187,88.05,210,33.92,320,367.91,333,188.73,351,335.17,410,57.32,490,159.65,528,26.10,596,346.02,683,110.44
Confirmed,"Stevens","Washington","US",45722,5393,0,0.00,189,3.53,218,0.59,316,22.53,342,7.68,353,13.39,423,3.96,458,10.46,530,1.36,598,43.84,683,7.13
Confirmed,"Thurston","Washington","US",290536,23159,0,0.00,186,13.90,236,5.44,351,65.15,419,17.05,490,58.31,527,16.61,614,110.73,673,46.36,680,67.42,683,61.17
