DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7
Confirmed,"","Penza Oblast","Russia",1331654,91259,0,0.00,140,105.89,177,38.05,366,227.02,495,72.67,664,394.79,683,363.99
Confirmed,"","Perm Krai","Russia",2623122,142484,0,0.00,178,80.99,220,57.58,337,331.24,500,95.94,655,706.83,683,693.13
Confirmed,"","Primorsky Krai","Russia",1913036,88298,0,0.00,330,239.76,472,23.21,549,260.31,616,214.35,683,461.36,683,461.36
Confirmed,"","Pskov Oblast","Russia",636546,66089,0,0.00,145,80.40,198,22.40,337,404.71,498,39.99,659,291.80,683,194.86
Confirmed,"","Rostov Oblast","Russia",4220452,173964,0,0.00,139,190.52,166,92.97,359,392.49,506,156.54,683,652.43,683,652.43
Confirmed,"","Ryazan Oblast","Russia",1121473,53076,0,0.00,138,66.63,199,27.39,341,138.70,474,43.60,662,264.52,683,226.15
Confirmed,"","Saint Petersburg","Russia",5351935,783596,0,0.00,327,3764.66,455,695.47,538,1958.42,586,1135.50,648,3251.22,683,2441.21
Confirmed,"","Sakha (Yakutiya) Republic","Russia",964330,69737,0,0.00,148,84.17,219,44.46,303,222.48,432,26.49,653,290.31,683,253.83
Confirmed,"","Sakhalin Oblast","Russia",490181,38316,0,0.00,341,146.55,426,9.99,561,107.81,629,53.48,683,125.24,683,125.24
Confirmed,"","Samara Oblast","Russia",3193514,181726,0,0.00,142,94.71,189,39.30,339,306.47,507,61.85,662,1777.04,683,903.36
Confirmed,"","Saratov Oblast","Russia",2462949,119977,0,0.00,145,120.49,173,92.94,341,271.31,504,109.51,660,641.96,683,558.26
Confirmed,"","Smolensk Oblast","Russia",949348,77344,0,0.00,137,114.59,235,11.91,370,186.01,440,33.44,652,595.21,683,289.99
Confirmed,"","Stavropol Krai","Russia",2800673,112652,0,0.00,150,94.88,167,83.52,345,244.22,475,52.18,669,523.64,683,464.59
Confirmed,"","Sverdlovsk Oblast","Russia",4325256,177182,0,0.00,174,269.08,222,119.41,339,404.55,493,96.60,668,737.77,683,697.52
Confirmed,"","Tambov Oblast","Russia",1033552,52691,0,0.00,140,65.27,214,22.49,350,159.93,479,35.90,663,212.01,683,210.94
Confirmed,"","Tatarstan Republic","Russia",3894284,36013,0,0.00,139,50.98,237,23.20,337,101.08,503,30.20,666,264.17,683,236.61
Confirmed,"","Tomsk Oblast","Russia",1078280,56293,0,0.00,297,209.58,474,22.94,568,122.91,608,89.14,667,275.10,683,230.91
Confirmed,"","Tula Oblast","Russia",1491855,65271,0,0.00,139,104.38,218,28.22,339,207.60,475,50.09,658,268.76,683,243.57
Confirmed,"","Tver Oblast","Russia",1283873,88607,0,0.00,141,82.32,230,22.73,339,236.39,468,67.98,654,398.18,683,368.36
Confirmed,"","Tyumen Oblast","Russia",3692400,80796,0,0.00,306,169.84,467,49.20,561,283.35,605,222.35,658,346.56,683,311.41
Confirmed,"","Tyva Republic","Russia",321722,29792,0,0.00,154,134.04,207,21.42,303,102.39,432,1.26,545,186.79,683,56.07
Confirmed,"","Udmurt Republic","Russia",1513044,75262,0,0.00,175,41.13,192,21.53,344,216.97,505,39.75,647,395.69,683,226.14
Confirmed,"","Ulyanovsk Oblast","Russia",1246618,110632,0,0.00,146,125.77,217,86.40,327,289.36,478,77.30,650,567.61,683,401.40
Confirmed,"","Vladimir Oblast","Russia",1378337,71298,0,0.00,332,185.67,504,48.51,534,240.12,603,158.74,660,325.66,683,310.93
Confirmed,"","Volgograd Oblast","Russia",2521275,116857,0,0.00,139,110.93,186,89.83,338,275.10,504,87.16,661,470.19,683,439.72
Confirmed,"","Vologda Oblast","Russia",1176689,91051,0,0.00,326,368.03,472,38.51,548,228.90,596,221.32,665,404.22,683,376.27
Confirmed,"","Voronezh Oblast","Russia",2333768,178882,0,0.00,143,215.37,190,89.44,354,390.97,477,133.61,653,794.70,683,742.58
Confirmed,"","Yamalo-Nenets Autonomous Okrug","Russia",538547,56702,0,0.00,171,200.51,223,47.00,309,196.63,477,16.85,659,147.11,683,130.25
Confirmed,"","Yaroslavl Oblast","Russia",1265684,75615,0,0.00,137,65.15,217,38.12,331,190.19,483,77.52,665,283.81,683,276.23
Confirmed,"","Zabaykalsky Krai","Russia",1072806,88200,0,0.00,305,268.01,473,25.65,533,326.84,596,164.18,657,368.29,683,325.81
