DataType,Admin2,Admin1,Admin0,Population,CaseCount,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9
Confirmed,"","","Senegal",16743930,74021,0,0.00,112,99.84,123,79.82,202,138.27,285,10.52,385,314.42,478,25.52,544,876.44,683,6.79
Confirmed,"","","Seychelles",98340,23622,0,0.00,471,283.82,488,118.47,508,158.88,601,26.74,608,75.68,647,19.24,677,51.54,683,35.18
Confirmed,"","","Sierra Leone",7976984,6402,0,0.00,123,29.23,132,17.28,143,26.28,310,1.15,374,56.83,440,2.07,518,79.70,683,0.06
Confirmed,"","","Somalia",15893219,23051,0,0.00,131,52.40,199,1.44,287,34.50,363,1.48,402,165.13,516,6.31,621,111.04,683,6.28
Confirmed,"","","South Africa",59308689,3028314,0,0.00,176,12225.61,249,1377.39,352,17883.22,439,870.27,529,19252.22,654,271.45,683,11411.73,683,11411.73
Confirmed,"","","South Sudan",11193729,12808,0,0.00,122,65.44,130,24.27,138,74.38,289,4.32,396,182.79,543,1.99,601,25.65,683,8.89
Confirmed,"","","Sudan",43849269,43582,0,0.00,147,194.02,259,3.54,318,276.51,396,24.67,449,141.83,555,0.00,678,172.84,683,109.82
Confirmed,"","","Tanzania",59734213,26270,0,0.00,88,23.46,543,0.00,554,56.90,561,22.83,566,39.20,607,0.00,618,2748.31,683,0.68
Confirmed,"","","Togo",8278736,26303,0,0.00,114,17.58,145,4.54,213,18.33,245,11.96,434,169.12,502,10.76,578,231.45,683,8.20
Confirmed,"","","Tunisia",11818618,718430,0,0.00,283,1487.75,312,1073.44,358,2793.11,422,570.57,454,2072.66,478,926.72,535,7484.42,683,174.62
Confirmed,"","","Uganda",45741000,127668,0,0.00,242,214.40,266,114.90,323,620.46,417,14.34,509,1385.51,568,176.78,579,2473.35,683,22.04
Confirmed,"","","Zambia",18383955,210308,0,0.00,112,57.95,132,10.43,190,262.64,309,29.06,360,1333.98,462,51.43,519,2640.22,683,25.88
Confirmed,"","","Zimbabwe",14862927,138883,0,0.00,192,176.28,253,12.69,354,886.54,474,18.08,539,2230.16,654,30.60,683,774.98,683,774.98
